"AccountEnabled","AgeGroup","ApproximateLastSignInDateTime","BusinessPhone","City","CompanyName","ComplianceExpirationDateTime","ConsentProvidedForMinor","Country","CreatedDateTime","CreationType","DeletedDateTime","Department","DeviceVersion","DisplayName","EmployeeHireDate","EmployeeId","EmployeeOrgData","EmployeeType","ExternalUserState","ExternalUserStateChangeDateTime","FaxNumber","GivenName","Id","Identity","ImAddress","IsResourceAccount","JobTitle","LastPasswordChangeDateTime","LegalAgeGroupClassification","Mail","MailNickname","Manager","MobilePhone","OdataId","OdataType","OfficeLocation","OnPremisesImmutableId","OnPremisesLastSyncDateTime","OnPremisesSyncEnabled","OperatingSystem","OperatingSystemVersion","OtherMail","PasswordPolicy","PasswordProfile","PhysicalId","PostalCode","PreferredLanguage","ProxyAddress","ResourceGroupName","ShowInAddressList","SignInSessionsValidFromDateTime","State","StreetAddress","Surname","TrustType","UsageLocation","UserPrincipalName","UserType","AdditionalProperties"
,,,"System.String[]",,,,,,,,,,,"Ahmed Mohammed",,,"{
}",,,,,"Ahmed","79f2636d-5005-445c-80ca-c4e3a4066d4b",,,,"Communication Specialist",,,,,"{
}",,,"#microsoft.graph.user",,,,,,,,,"{
}",,,,,,,,,,"Mohammed",,,"Ahmed@gyulaszabados96gmail.onmicrosoft.com",,"System.Collections.Generic.Dictionary`2[System.String,System.Object]"
,,,"System.String[]",,,,,,,,,,,"Anh Kipling",,,"{
}",,,,,"Anh","a6f5c138-ac46-4b38-a157-cb067d3f6283",,,,"Help Desk Support",,,,,"{
}",,,"#microsoft.graph.user",,,,,,,,,"{
}",,,,,,,,,,"Kipling",,,"Anh@gyulaszabados96gmail.onmicrosoft.com",,"System.Collections.Generic.Dictionary`2[System.String,System.Object]"
,,,"System.String[]",,,,,,,,,,,"Anjana Friseal",,,"{
}",,,,,"Anjana","543ca9bf-a6de-413a-9d83-e38134385a59",,,,"Payroll Advisor",,,,,"{
}",,,"#microsoft.graph.user",,,,,,,,,"{
}",,,,,,,,,,"Friseal",,,"Anjana@gyulaszabados96gmail.onmicrosoft.com",,"System.Collections.Generic.Dictionary`2[System.String,System.Object]"
,,,"System.String[]",,,,,,,,,,,"Annabella Esztergomi",,,"{
}",,,,,"Annabella","26355646-0df9-4e65-b8eb-452aeee5e520",,,,"Sales Representative",,,,,"{
}",,,"#microsoft.graph.user",,,,,,,,,"{
}",,,,,,,,,,"Esztergomi",,,"Annabella@gyulaszabados96gmail.onmicrosoft.com",,"System.Collections.Generic.Dictionary`2[System.String,System.Object]"
,,,"System.String[]",,,,,,,,,,,"Arzen Kiomed",,,"{
}",,,,,"Arzen","79f11ef2-9782-42ea-8571-797a458e7595",,,,"Communication Specialist",,,,,"{
}",,,"#microsoft.graph.user",,,,,,,,,"{
}",,,,,,,,,,"Kiomed",,,"Arzen@gyulaszabados96gmail.onmicrosoft.com",,"System.Collections.Generic.Dictionary`2[System.String,System.Object]"
,,,"System.String[]",,,,,,,,,,,"Chang Kim",,,"{
}",,,,,"Chang","4148303a-1ce1-4c5d-bff9-55ab80028887",,,,"Payroll Specialist",,,,,"{
}",,,"#microsoft.graph.user",,,,,,,,,"{
}",,,,,,,,,,"Kim",,,"Chang@gyulaszabados96gmail.onmicrosoft.com",,"System.Collections.Generic.Dictionary`2[System.String,System.Object]"
,,,"System.String[]",,,,,,,,,,,"Fruzsina Kiss",,,"{
}",,,,,"Fruzsina","4be8c31a-2a77-46c3-abfa-4895ea0c74f8",,,,"Social Media Manager",,,,,"{
}",,,"#microsoft.graph.user",,,,,,,,,"{
}",,,,,,,,,,"Kiss",,,"Fruzsina@gyulaszabados96gmail.onmicrosoft.com",,"System.Collections.Generic.Dictionary`2[System.String,System.Object]"
,,,"System.String[]",,,,,,,,,,,"Garnett Giehl",,,"{
}",,,,,"Garnett","dd5c5480-eba1-4ddc-a8cd-0291393bf67b",,,,"Finance assistant",,,,,"{
}",,,"#microsoft.graph.user",,,,,,,,,"{
}",,,,,,,,,,"Giehl",,,"Garnett@gyulaszabados96gmail.onmicrosoft.com",,"System.Collections.Generic.Dictionary`2[System.String,System.Object]"
,,,"System.String[]",,,,,,,,,,,"Gyula Szabados",,,"{
}",,,,,"Gyula","3022fc56-78c8-4513-9969-b1b398600693",,,,,,,,,"{
}",,,"#microsoft.graph.user",,,,,,,,,"{
}",,,"en",,,,,,,"Szabados",,,"gyula.szabados.96_gmail.com#EXT#@gyulaszabados96gmail.onmicrosoft.com",,"System.Collections.Generic.Dictionary`2[System.String,System.Object]"
,,,"System.String[]",,,,,,,,,,,"Gyula Szabados",,,"{
}",,,,,"Gyula","cd1873d8-be99-4999-b106-ac98683cd928",,,,"IAM Specialist",,,,,"{
}",,,"#microsoft.graph.user",,,,,,,,,"{
}",,,,,,,,,,"Szabados",,,"Gyula@gyulaszabados96gmail.onmicrosoft.com",,"System.Collections.Generic.Dictionary`2[System.String,System.Object]"
